title,price,link_item,index,discount,sales,category
áo dạ tiêu viền ren 039,198.000₫,https://tiki.vn/ao-da-tieu-vien-ren-039-p192381148.html?spid=192381155,1,,,dodoi
áo điệu tay bo,180.000₫,https://tiki.vn/ao-dieu-tay-bo-p192386066.html?spid=192386067,2,,,dodoi
Đồ gia đình xinh lung linh chất vải bao đẹp- giá 1 bộ luôn quần và áo,109.000₫,https://tiki.vn/do-gia-dinh-xinh-lung-linh-chat-vai-bao-dep-gia-1-bo-luon-quan-va-ao-p248270981.html?spid=248273516,3,,,dodoi
áo đôi chuột mickey,45.000₫,https://tiki.vn/ao-doi-chuot-mickey-p126186945.html?spid=126188570,4,,Đã bán 3,dodoi
,,https://tiki.vn/ao-doi-thun-cotton-du-size-ac102t-p95902096.html?spid=95902370,5,,,dodoi
Áo thun cổ trụ unisex viền trang trí (có bán lẻ),120.000₫,https://tiki.vn/ao-thun-co-tru-unisex-vien-trang-tri-co-ban-le-p105336599.html?spid=105336803,6,,,dodoi
Quần đôi đi biển mẫu mới đẹp xinh combo 2 quần ( 1 quần nam + 1 quần nữ),50.000₫,https://tiki.vn/quan-doi-di-bien-mau-moi-dep-xinh-combo-2-quan-1-quan-nam-1-quan-nu-p248268555.html?spid=248268594,7,,,dodoi
"thời trang unisex, Áo thun nam nữ sadboizz gấu hot trend đáng yêu cho nam nữ",81.000₫,https://tiki.vn/thoi-trang-unisex-ao-thun-nam-nu-sadboizz-gau-hot-trend-dang-yeu-cho-nam-nu-p193892648.html?spid=193892650,8,,,dodoi
Đồ đôi đi biển xinh xắn chất vải đẹp- HÀNG LOẠI 1,109.000₫,https://tiki.vn/do-doi-di-bien-xinh-xan-chat-vai-dep-hang-loai-1-p248271939.html?spid=248273987,9,,,dodoi
,,https://tiki.vn/ao-gia-dinh-cotton-loai-1-ms77-p149068852.html?spid=149068884,10,,,dodoi
Quần đôi đi biển xinh xắn ( giá 1 quần),49.000₫,https://tiki.vn/quan-doi-di-bien-xinh-xan-gia-1-quan-p248273766.html?spid=248274063,11,,,dodoi
Áo gia đình cotton loại 1 đủ màu,130.000₫,https://tiki.vn/ao-gia-dinh-cotton-loai-1-du-mau-p149067942.html?spid=149068135,12,,,dodoi
,,https://tiki.vn/ao-lop-dong-phuc-team-work-mot-khi-da-mau-dung-hoi-chu-chau-la-ai-p105549649.html?spid=105550743,13,,,dodoi
Áo thun Dark Wings,99.000₫,https://tiki.vn/ao-thun-dark-wings-p105336877.html?spid=105336937,14,,,dodoi
