title,price,link_item,index,discount,sales,category
"Đồ bơi nữ, áo tắm, đồ đi biển nữ duyên dáng kín đáo",185.000₫,https://tiki.vn/do-boi-nu-ao-tam-do-di-bien-nu-duyen-dang-kin-dao-p81312695.html?spid=103125855,1,-11%,Đã bán 20,doboinu
Bikini đồ bơi 2 mảnh bèo yếm cam đất,250.000₫,https://tiki.vn/bikini-do-boi-2-manh-beo-yem-cam-dat-p87437467.html?spid=87437494,2,-21%,,doboinu
Bikini đi biển cho nữ đẹp,300.000₫,https://tiki.vn/bikini-di-bien-cho-nu-dep-p87438009.html?spid=87438011,3,-24%,,doboinu
Áo bơi NỮ lẻ BIKINI PASSPORT kiểu tay dài Basic - màu Tribal - BS202_TRI,280.000₫,https://tiki.vn/ao-boi-nu-le-bikini-passport-kieu-tay-dai-basic-mau-tribal-bs202_tri-p235879930.html?spid=235879936,4,-25%,,doboinu
Quần bơi Nữ BIKINI PASSPORT kiểu Quần Lưng thấp dây thưa - BS235_BL,190.000₫,https://tiki.vn/quan-boi-nu-bikini-passport-kieu-quan-lung-thap-day-thua-bs235_bl-p202560034.html?spid=202560035,5,-35%,,doboinu
Đồ bơi nữ cao cấp dạng một mảnh yếm phối áo tay dài cover - màu Tím - VS187_PP,860.000₫,https://tiki.vn/do-boi-nu-cao-cap-dang-mot-manh-yem-phoi-ao-tay-dai-cover-mau-tim-vs187_pp-p202560095.html?spid=202560101,6,-29%,,doboinu
Đồ bơi nữ cao cấp dạng một mảnh may lộn tạo hình cutout - Cam - VS193_OR,760.000₫,https://tiki.vn/do-boi-nu-cao-cap-dang-mot-manh-may-lon-tao-hinh-cutout-cam-vs193_or-p201152033.html?spid=201152041,7,-21%,,doboinu
Đồ bơi nữ cao cấp dạng hai mảnh áo chữ U phối áo cover tay dài sexy - Xanh lá cây - VS180_GN,850.000₫,https://tiki.vn/do-boi-nu-cao-cap-dang-hai-manh-ao-chu-u-phoi-ao-cover-tay-dai-sexy-xanh-la-cay-vs180_gn-p201152047.html?spid=201152051,8,-21%,,doboinu
Áo bơi NỮ lẻ BIKINI PASSPORT kiểu Áo yếm lẻ - Hồng - BS214_PK,260.000₫,https://tiki.vn/ao-boi-nu-le-bikini-passport-kieu-ao-yem-le-hong-bs214_pk-p201150111.html?spid=201150113,9,-21%,,doboinu
"Bikini, Đồ bơi nữ có tay khóa kéo màu ĐEN FORM SHORT sành điệu kín đáo co dãn thoải mái",268.000₫,https://tiki.vn/bikini-do-boi-nu-co-tay-khoa-keo-mau-den-form-short-sanh-dieu-kin-dao-co-dan-thoai-mai-p185909130.html?spid=193734381,10,-11%,,doboinu
"Đồ bơi nữ liền mảnh bikini nữ tay dài khoét lưng, khoét ngực kín đáo đi biển",202.800₫,https://tiki.vn/do-boi-nu-lien-manh-bikini-nu-tay-dai-khoet-lung-khoet-nguc-kin-dao-di-bien-p184933631.html?spid=184933637,11,-11%,,doboinu
Bộ đồ bơi nữ tay dài 2 mảnh kín đáo đi biển dáng thể thao thun lạnh co giãn,199.000₫,https://tiki.vn/bo-do-boi-nu-tay-dai-2-manh-kin-dao-di-bien-dang-the-thao-thun-lanh-co-gian-p248715100.html?spid=248715102,12,-24%,Đã bán 1,doboinu
"Bộ đồ bơi nữ, bộ bikini hàng cao cấp có đệm ngực",328.000₫,https://tiki.vn/bo-do-boi-nu-bo-bikini-hang-cao-cap-co-dem-nguc-p114290981.html?spid=118164201,13,-11%,Đã bán 3,doboinu
(hàng cao cấp) Bộ Bikini 3 Món Siêu Phẩm Cho mùa du lịch áo voan ngoài đẹp tinh tế,295.000₫,https://tiki.vn/hang-cao-cap-bo-bikini-3-mon-sieu-pham-cho-mua-du-lich-ao-voan-ngoai-dep-tinh-te-p186190456.html?spid=186190473,14,-25%,,doboinu
sét bikini 3 món hàng cao cấp có đệm ngực áo quần áo và khăn voan lụa,350.000₫,https://tiki.vn/set-bikini-3-mon-hang-cao-cap-co-dem-nguc-ao-quan-ao-va-khan-voan-lua-p114288870.html?spid=114288975,15,-25%,Đã bán 2,doboinu
"Bộ Đồ Bơi Nữ, Bộ Bikini 3 Món có Đệm ngực hàng cao cấp",347.500₫,https://tiki.vn/bo-do-boi-nu-bo-bikini-3-mon-co-dem-nguc-hang-cao-cap-p176717174.html?spid=176717176,16,-24%,Đã bán 1,doboinu
Đồ bơi nữ cao cấp dạng hai mảnh áo gọng phối váy cover cách điệu - Xanh đen - VS176_NV,820.000₫,https://tiki.vn/do-boi-nu-cao-cap-dang-hai-manh-ao-gong-phoi-vay-cover-cach-dieu-xanh-den-vs176_nv-p201150049.html?spid=201150055,17,-24%,,doboinu
Đồ bơi nữ cao cấp dạng hai mảnh may lộn phối dây xích bạc - màu Floral - VS171_FLO,600.000₫,https://tiki.vn/do-boi-nu-cao-cap-dang-hai-manh-may-lon-phoi-day-xich-bac-mau-floral-vs171_flo-p201153066.html?spid=201153068,18,-24%,,doboinu
Váy Tắm Biển Liền Dài Tay,245.000₫,https://tiki.vn/vay-tam-bien-lien-dai-tay-p262065342.html?spid=262065346,19,-11%,,doboinu
Đồ Bơi 2 Mảnh Tay Dài B14,275.000₫,https://tiki.vn/do-boi-2-manh-tay-dai-b14-p200663244.html?spid=200663248,20,,,doboinu
Bikini 2 Mảnh Cạp Cao Dấu Bụng,200.000₫,https://tiki.vn/bikini-2-manh-cap-cao-dau-bung-p263406571.html?spid=263406584,21,,,doboinu
Bộ Bikini Đi Biển Sexy,178.000₫,https://tiki.vn/bo-bikini-di-bien-sexy-p263408036.html?spid=263408058,22,,,doboinu
Bộ đồ bơi bikini nữ 1 mảnh giấu bụng tôn dáng đi tắm biển kèm áo ren trắng khoác ngoài chống nắng - B. 04,173.000₫,https://tiki.vn/bo-do-boi-bikini-nu-1-manh-giau-bung-ton-dang-di-tam-bien-kem-ao-ren-trang-khoac-ngoai-chong-nang-b-04-p257551663.html?spid=257551665,23,,,doboinu
Bộ đồ bơi bikini nữ hai mảnh che nắng kín đáo giấu bụng kèm áo thun khoác ngoài đi tắm biển B.50,180.000₫,https://tiki.vn/bo-do-boi-bikini-nu-hai-manh-che-nang-kin-dao-giau-bung-kem-ao-thun-khoac-ngoai-di-tam-bien-b-50-p261988574.html?spid=261988578,24,,,doboinu
- Đồ bơi bé gái tay dài quần dài 35-60kg - Đồ bơi tay dài quần dài cho bạn tự tin - Hương Nhiên,299.000₫,https://tiki.vn/do-boi-be-gai-tay-dai-quan-dai-35-60kg-do-boi-tay-dai-quan-dai-cho-ban-tu-tin-huong-nhien-p108760567.html?spid=108760693,25,,,doboinu
"Đồ bơi nữ từ 35-60kg, chất polyester - Áo bơi tay dài cho bé phát triển bơi lâu mà không sợ lạnh",299.000₫,https://tiki.vn/do-boi-nu-tu-35-60kg-chat-polyester-ao-tay-dai-cho-be-phat-trien-boi-lau-ma-khong-so-lanh-p176545246.html?spid=176545316,26,,Đã bán 4,doboinu
Bikini Đùi Kèm Khăn Cao Cấp,435.000₫,https://tiki.vn/bikini-dui-kem-khan-cao-cap-p263407052.html?spid=263407069,27,,,doboinu
Đồ Bơi Nữ Dài Tay,225.000₫,https://tiki.vn/do-boi-nu-dai-tay-p263407130.html?spid=263407145,28,,,doboinu
Bikini Đồ Bơi Đồ Tắm Biển 2 Mảnh Sexy,152.000₫,https://tiki.vn/bikini-do-boi-do-tam-bien-2-manh-sexy-p263409212.html?spid=263409254,29,,,doboinu
Bikini Đồ Bơi Đồ Tắm Biển Sexy,152.000₫,https://tiki.vn/bikini-do-boi-do-tam-bien-sexy-p263409888.html?spid=263409895,30,,,doboinu
Set Bộ váy Bơi Nữ Croptop Size 45 Đến 72kg,312.000₫,https://tiki.vn/set-bo-vay-boi-nu-croptop-size-45-den-72kg-p184134599.html?spid=184134601,31,,Đã bán 2,doboinu
Đồ Tắm Biển ĐI Bơi Thời Trang Biển Cao Cấp,489.000₫,https://tiki.vn/do-tam-bien-di-boi-thoi-trang-bien-cao-cap-p263408550.html?spid=263408587,32,,,doboinu
Bộ đồ bơi bikini nữ kín đáo đi tắm biển giấu bụng váy liền áo dài tay - B.42,158.000₫,https://tiki.vn/bo-do-boi-bikini-nu-kin-dao-di-tam-bien-giau-bung-vay-lien-ao-dai-tay-b-42-p187582074.html?spid=187582078,33,,Đã bán 1,doboinu
Đồ Bơi Đồ Tắm Biển Bikini Sexy,214.000₫,https://tiki.vn/do-boi-do-tam-bien-bikini-sexy-p169218238.html?spid=169218240,34,,,doboinu
Bộ đồ bơi bikini nữ 2 mảnh dài tay chống nắng kín đáo đi tắm biển - B.34,158.000₫,https://tiki.vn/bo-do-boi-bikini-nu-2-manh-dai-tay-chong-nang-kin-dao-di-tam-bien-b-34-p243025954.html?spid=243025958,35,,,doboinu
Bộ đồ bơi bikini nữ hai mảnh cộc tay kín đáo tôn dáng giấu bụng đi tắm biển - B.52,150.000₫,https://tiki.vn/bo-do-boi-bikini-nu-hai-manh-coc-tay-kin-dao-ton-dang-giau-bung-di-tam-bien-b-52-p261996198.html?spid=261996206,36,,,doboinu
Bộ đồ bơi bikini kín đáo nữ hai mảnh đi tắm biển áo dài tay kèm váy - B34,158.000₫,https://tiki.vn/bo-do-boi-bikini-kin-dao-nu-hai-manh-di-tam-bien-ao-dai-tay-kem-vay-b34-p187594870.html?spid=187594874,37,,Đã bán 1,doboinu
"Bộ đồ bơi bikini nữ 2 mảnh kèm áo khoác đi tắm biển, đi tập yoga, đi tập gym phong cách Hàn Quốc hot trend - B14",173.000₫,https://tiki.vn/bo-do-boi-bikini-nu-2-manh-kem-ao-khoac-di-tam-bien-di-tap-yoga-di-tap-gym-phong-cach-han-quoc-hot-trend-b14-p253232506.html?spid=253232510,38,,,doboinu
Bộ đồ bơi bikini nữ kín đáo đi tắm biển giấu bụng váy liền áo dài tay - B.27,158.000₫,https://tiki.vn/bo-do-boi-bikini-nu-kin-dao-di-tam-bien-giau-bung-vay-lien-ao-dai-tay-b-27-p187055500.html?spid=187055508,39,,,doboinu
Đồ Bơi Đồ Tắm Biển Nữ Kín Size To,285.000₫,https://tiki.vn/do-boi-do-tam-bien-nu-kin-size-to-p177632177.html?spid=177632179,40,,Đã bán 3,doboinu
