title,price,link_item,index,discount,sales,brand
Combo Viên Rửa Bát Finish 90 Viên +4kg Muối Finish,490.000₫,https://tiki.vn/combo-vien-rua-bat-finish-90-vien-4kg-muoi-finish-p134760152.html?spid=134760157,1,-26%,,finish
"Combo Gel rửa chén bát Finish Classic 1.5 lit + Muối Finish 1,2kg + Nước làm bóng Finish 750ml",495.000₫,https://tiki.vn/combo-gel-rua-chen-bat-finish-classic-1-5-lit-muoi-finish-1-2kg-nuoc-lam-bong-finish-750ml-p205506071.html?spid=249220435,2,,,finish
Combo Gel rửa bát Finish 1500ml dạng lỏng + Muối 2kg dùng cho máy rửa chén bát + Tặng viên Finish,519.899₫,https://tiki.vn/combo-gel-rua-bat-finish-1500ml-dang-long-muoi-2kg-dung-cho-may-rua-chen-bat-tang-vien-finish-p206295017.html?spid=174279989,3,,,finish
Muối rửa bát Finish,139.000,https://tiki.vn/muoi-rua-bat-finish-p170944957.html?spid=172215447,4,,Đã bán 3,finish
,,https://tiki.vn/muoi-rua-finish-special-salt-1-2-kg-moi-nhat-2021-tang-vien-finish-nhat-p168376730.html?spid=174280333,5,,,finish
"Combo rửa bát Finish Bột 2.5kg, Muối 1.2kg, Nước làm bóng 400ml",769.000₫,https://tiki.vn/combo-rua-bat-finish-bot-2-5kg-muoi-1-2kg-nuoc-lam-bong-400ml-p168846565.html?spid=174896276,6,,,finish
Combo 2 hộp 110 viên rửa bát Finish Classic Dishwasher Tablets (2x110viên),680.000₫,https://tiki.vn/combo-2-hop-110-vien-rua-bat-finish-classic-dishwasher-tablets-2x110vien-p186689869.html?spid=207311271,7,,Đã bán 1,finish
Viên rửa bát chén Finish chuyên dùng cho máy rửa bát viên 16g,299.000₫,https://tiki.vn/vien-rua-bat-chen-finish-chuyen-dung-cho-may-rua-bat-vien-16g-p121326410.html?spid=141656094,8,,,finish
Bán lẻ 12 Viên rửa bát Finish ( LOẠI 16G/ VIÊN ),39.900₫,https://tiki.vn/ban-le-12-vien-rua-bat-finish-loai-16g-vien-p121326287.html?spid=141654815,9,,,finish
,,https://tiki.vn/combo-vien-finish-77-tabs-muoi-finish-1-2kg-nuoc-lam-bong-bat-finish-750ml-xuat-xu-chau-au-p121326144.html?spid=126707855,10,,,finish
Viên rửa bát Finish tổng hợp tặng gói bột vê sinh máy giặt,875.000₫,https://tiki.vn/vien-rua-bat-finish-tong-hop-tang-goi-bot-ve-sinh-may-giat-p121326603.html?spid=121326620,11,,,finish
Viên rửa chén ly Finish tổng hợp tặng gói tẩy lồng máy giặt,875.000,https://tiki.vn/vien-rua-chen-ly-finish-tong-hop-tang-goi-tay-long-may-giat-p121326705.html?spid=121326711,12,,,finish
,,https://tiki.vn/100-vien-rua-chen-bat-finish-allin1-dung-cho-may-nguyen-hop-p121326363.html?spid=130868212,13,,,finish
"Muối rửa bát Finish 1,2kg+ viên rửa bát Finish 150 viên+ chai nước làm bóng Finish 400 ml",519.000₫,https://tiki.vn/muoi-rua-bat-finish-1-2kg-vien-rua-bat-finish-150-vien-chai-nuoc-lam-bong-finish-400-ml-p121326250.html?spid=133933430,14,,Đã bán 2,finish
Hộp 68 viên finish dùng cho máy rửa chén bát Viên rửa bát finish th Muối Bóng Bột ( Đức )mẫu mới,109.000₫,https://tiki.vn/hop-68-vien-finish-dung-cho-may-rua-chen-bat-vien-rua-bat-finish-th-muoi-bong-bot-duc-mau-moi-p121326118.html?spid=134405843,15,,,finish
Dung dịch bóng Finish chai 1150ml,145.000₫,https://tiki.vn/dung-dich-bong-finish-chai-1150ml-p162209856.html?spid=172269347,16,,,finish
Combo Viên rửa chén Finish 90V + Muối Finish 1.5kg + Nước làm bóng bát Finish 750ml,130.300,https://tiki.vn/combo-vien-rua-chen-finish-90v-muoi-finish-1-5kg-nuoc-lam-bong-bat-finish-750ml-p134760580.html?spid=141655294,17,,,finish
,,https://tiki.vn/chai-650ml-gel-rua-chen-finish-all-in-1-max-10x-tinh-nang-danh-cho-tat-ca-may-rua-chen-gia-dinh-lon-va-nho-p270502655.html?spid=270949429,18,,,finish
bộ 2 sp 1150ml Nước bóng finish + viên rửa bát chén 77 viên,99.000₫,https://tiki.vn/bo-2-sp-1150ml-nuoc-bong-finish-vien-rua-bat-chen-77-vien-p134760500.html?spid=141656019,19,,,finish
Combo Nước rửa bát Finish Gel 1.5L+ 1.5kg Muối rửa bát Finish Dùng cho Máy rửa bát,118.668₫,https://tiki.vn/combo-nuoc-rua-bat-finish-gel-1-5l-1-5kg-muoi-rua-bat-finish-dung-cho-may-rua-bat-p134758439.html?spid=177993787,20,,,finish
"Combo 40 Viên rửa bát Finish Quantum + Muối Finish 1,2kg",299.000₫,https://tiki.vn/combo-40-vien-rua-bat-finish-quantum-muoi-finish-1-2kg-p133568735.html?spid=133568736,21,,,finish
"Combo rửa bát Finish: Hộp All In One 90 viên, Muối 1.5kg, Nước làm bóng 400ml - Nhập khẩu EU",699.000₫,https://tiki.vn/combo-rua-bat-finish-hop-all-in-one-90-vien-muoi-1-5kg-nuoc-lam-bong-400ml-nhap-khau-eu-p134760995.html?spid=137827935,22,,Đã bán 8,finish
Combo viên rửa chén finish 90 viên + 1.2kg muối rửa bát somat chuyên dùng cho máy rửa bát,399.000₫,https://tiki.vn/combo-vien-ru-a-che-n-finish-90-vien-1-2kg-muoi-ru-a-ba-t-somat-chuyen-du-ng-cho-ma-y-ru-a-ba-t-p134759893.html?spid=141655110,23,,Đã bán 3,finish
