title,price,link_item,index,discount,sales,category
Điện thoại Samsung Galaxy Z Fold4 5G (12GB/256GB) - Hàng chính hãng,40.990.000₫,https://tiki.vn/dien-thoai-samsung-galaxy-z-fold4-5g-12gb-256gb-hang-chinh-hang-p196197701.html?spid=196197705,1,-14%,,smartphone
Điện thoại Samsung Galaxy A34 5G 8GB/128GB Xanh - Hàng chính hãng,7.290.000₫,https://tiki.vn/dien-thoai-samsung-galaxy-a34-5g-8gb-128gb-xanh-hang-chinh-hang-p249178196.html?spid=249178197,2,-22%,,smartphone
Điện thoại Xiaomi Redmi 10C (4 +128) Xám - Hàng Chính Hãng (chỉ giao HN và một số khu vực),2.850.000₫,https://tiki.vn/dien-thoai-xiaomi-redmi-10c-4-128-xam-hang-chinh-hang-chi-giao-hn-va-mot-so-khu-vuc-p207268082.html?spid=216939586,3,,,smartphone
Điện thoại Samsung Galaxy S22 Plus 5G (8GB/256GB) - Hàng Chính Hãng,23.900.000,https://tiki.vn/dien-thoai-samsung-galaxy-s22-plus-5g-8gb-256gb-hang-chinh-hang-p174599533.html?spid=196285305,4,-10%,,smartphone
,,https://tiki.vn/dien-thoai-samsung-galaxy-a04-3gb-32gb-hang-chinh-hang-p204066551.html?spid=207923567,5,-23%,,smartphone
Điện thoại Samsung Galaxy A05s 4GB/128GB- Hàng Chính hãng,3.980.000₫,https://tiki.vn/dien-thoai-samsung-galaxy-a05s-4gb-128gb-hang-chinh-hang-p273186334.html?spid=273550703,6,-25%,,smartphone
Điện thoại Samsung Galaxy Z Flip 4 5G 256GB Vàng - Hàng chính hãng,20.915.000₫,https://tiki.vn/dien-thoai-samsung-galaxy-z-flip-4-5g-256gb-vang-hang-chinh-hang-p193209870.html?spid=212607462,7,,,smartphone
Điện Thoại Itel S23 16GB(8GB+8GB)/256GB | Pin 5000mAh | 6.6 Inch | Camera 50MP | HÀNG CHÍNH HÃNG,2.734.000₫,https://tiki.vn/dien-thoai-itel-s23-16gb-8gb-8gb-256gb-pin-5000mah-6-6-inch-camera-50mp-hang-chinh-hang-p273498357.html?spid=273498359,8,,Đã bán 3,smartphone
Điện Thoại Samsung Galaxy Z Fold4 5G (12GB/256GB) - Hàng Chính Hãng - Đã kích hoạt bảo hành điện tử,38.531.000,https://tiki.vn/dien-thoai-samsung-galaxy-z-fold4-5g-12gb-256gb-hang-chinh-hang-da-kich-hoat-bao-hanh-dien-tu-p221230394.html?spid=252536595,9,,,smartphone
,,https://tiki.vn/dien-thoai-oppo-a78-8gb-256gb-p270164674.html?spid=270180316,10,,,smartphone
Điện thoại Samsung Galaxy Z Fold 4 5G 256GB Xám - Hàng chính hãng,38.000.000₫,https://tiki.vn/dien-thoai-samsung-galaxy-z-fold-4-5g-256gb-xam-hang-chinh-hang-p193206340.html?spid=205113327,11,,,smartphone
Điện thoại Samsung Galaxy S22 Plus 5G (8GB/256GB) - Hàng chính hãng - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ,23.000.000,https://tiki.vn/dien-thoai-samsung-galaxy-s22-plus-5g-8gb-256gb-hang-chinh-hang-da-kich-hoat-bao-hanh-dien-tu-p168062573.html?spid=216715241,12,,,smartphone
,,https://tiki.vn/dien-thoai-oppo-a17k-3gb-64gb-hang-chinh-hang-p204872160.html?spid=253384256,13,,,smartphone
Điện thoại Samsung Galaxy A34 5G 8GB/128GB Bạc - Hàng chính hãng,7.164.000₫,https://tiki.vn/dien-thoai-samsung-galaxy-a34-5g-8gb-128gb-bac-hang-chinh-hang-p249168949.html?spid=262512879,14,,,smartphone
