title,price,link_item,index,discount,sales,category
"Serum vitamin C trắng da, đánh bay sạm nám Wonmom 20ml",297.500₫,https://tka.tiki.vn/pixel/pixel?data=dE2mVrimRSHXzGs4HMsLWKd8NJfmW1Nb2yNpEUrIGIGXRI0PlQz8G-zaefWhT1IRwQsc4ipNKdefjfA5kqjTdq9F5WxaMNQ3SXR7fD0_No_3-rowe6Se8ylruCilZ4iro7NjoF2uDRX9OIxrzZBpSWqbUmpFrbYYlR3xD433jcxbiTCJjrYYfXnCRCriP78sWOBkxVneo45TAw2EcTES9xX-fipCfNgI0DPKY6_E7Fdek5s07UOnhC5rZQ2-226WjZIIUt8Ro-MTC9R-kd-e38W_hDzs3GvvEJ2i3PZCqBtYvlcksmCIwsh7ego0FiSe4RA2H8U1pniZmCvw-WI2-BuYti6nLVNxVZybEmybpf3zbqjr-ifj4kAsCkJ73WwyhN_yaWz40GGhtVAh7K6I6Zup5SRCcJcH9VkzLhsv3w765LIdXmNOADAzEb9I80JfUNk7XEADi5hjn5exuHGCS055B73ggebWDKDId4WCcXAPKGajYYncN9mz_5Yv5XKhsTASSJYSNEMJyWQ3k8uLOrNqItBtdISGWlqelAn33YfnARzqEZB1Dl6XulCpGKDFGMI4j0qfAeZjPZ2SI9Q4xDwF5RizQwVrGSt7u-z88RjX3ZpjQxaSq6Mwv9BRgHSDML3Hs0hGcwGmzeXBtVB-6lXLxWMIiI7tsVMi4Va87qzEjIsuvFSLtxF38bYGBaMtSXPViqcc1gcjTP1-sfuwIWqOhjqIA5rh9AEhlSwnIrGAczApKy2sloWP6tvbW3PiRUf7v0cY3g72IOcw30h2uvEHg9G21SnQbMxpfClgBKHIXz5vj3HbJgL5GqHsZd6Irxi_uv9HjMSdOnuSmDvADTgwP87JFzHBQsVynotdPxAq7itBNox5SDrp9d_TFESf8dUt31gOoOGXmp-rb9uitasNmqxUypYdRo-jlUg4L5LmhpC93mET6EqQReHPfScgCq-xrEXw2nPrTunXfn__x18fdbNOI9h_-BHAyuQwLXKwq915Dj6yShYUIGGRXK49_4rghTqf_4xuXjIsO_tvggPtEGX8BSgAGxZT3UzH5Yo71floDAXmqf6xzbmA9bXjdUoyGRckMHxJc8bu9w_vfPPp2lkpOyY6I1s&reqid=Sc97gpVLcdcbIc2y&type=CLICK&pos=11,11,-18%,Đã bán 125,chamsocme
"Bộ dưỡng da mặt organic, làm sạch da, ngăn ngừa mụn, trắng sáng da mặt Wonmom ( 1 sữa rửa mặt + 1 serum vitamin C )",475.600₫,https://tka.tiki.vn/pixel/pixel?data=9tBUsgT49tsFSSZ5ymO0NbSutg9FQXxCYacJOxgVW16iPYPRCAfyKRLNeeQrmNLaOoBYuIdFtlhgxmiXV6w3uRXeIVs9lpliBs9iF4DgF1l8xWJinWJE9GkwLimQ2Ku8TT0qySfZoMC93lfnuB76lWraAGQdknkKQTBVq0UG1NXNxFOoyDiJmMfmDb4YzrUicis5v-Py8_WtdvzcMRxtmwc1YZSHMzHotdCpxcMZ3aoJEEQKCAZVd1tx_4InzCAZw70mK88AEL_XhRBA4rOi_LVxTEtUUJDun3YX3uX8Q3M_9wNQNlcmTrf-PIBiLT252a3-01RIsHjfWODgYLSFRMAJjB80rxSyInkbPKd28RJdt_1w_7WKHN1eDeuip_14WpogfQU_IU2HOEw_88U_DRtNm_52gWrCTOufy1HNsWi8U2QRHED5jMYdq4-qCVz-xw9sji0kT73gtuSpbUdS53gbI5rm7NFGz90qhhdaaLR_b9DujpGd-mriGCuHgOVQekZx9-RaWrIqwXTQ73NN0oumN96fAsJMHVrVJEW6pejJK7171IWxP0vqujjqOaOLfanW3frMyzV6TK1b5j8T5bfGlrHzyhpdTMxlwczK0p1Meg69PnVsn8JSGXTBNlE_qqaXR9qQesFxM_64aohtt2tP9-W2eyiDOqChi8tAokq7AXDuhnCnTaROFJVg4AGWHnIY1mJkULj6eYXQj25s56j7TOaoOmOPZHi7VxP-BD33XvkVz9uFf0M8uNqWNtT8bQxh0rIZgVVgJ0g9_Ygv57SY4SH1-S-dNrTWgmsi9z-vt0ZxiQhmdtPOERdB60n5A4nMEpMTxcdXcjTIjuxLWalY8Tq6ZyjIVZsZbOgFLCf4yKYRI9suJq5bhrSSD9_rfWVFQAQC2DP_gfp46kcX1QBdjskvzy_HA3beUaeWqo7uD7GAJnlmEJJViaitQshkjDLRbxTaCcuHZHBxAjyO5SKyQVmhszapbEx691tZIfjjkY2EdBb8xzj_iOzQg8I9WJrexcfdzkneF6f-ash0T1Eq77v4y3u_hn866W9iXCrYpSM5CVaaJIWKDlU6i0kDD0xE1w71fyQzFfR0nMZPqjPr0HgRsENDutzoYtys81dPeTSrIjLYalnywZqwa964zyfTuSZD8640Kt32qfk--OLwmetD9xck9hw9nFet88_-&reqid=Sc97gpVLcdcbIc2y&type=CLICK&pos=12,12,-12%,Đã bán 11,chamsocme
"Gel gừng thảo dược, massage tan mỡ bụng, săn chắc eo Wonmom 70g",290.400₫,https://tka.tiki.vn/pixel/pixel?data=150BSLc4rXAtjIVRIENlOB4xrK-8_skVbfITX0Id_CJ42-_Xaip9m5ePXx_9YmgiIp9qGtkLaiNDk662bWI7ceTm9r8bMU67iidCOJcypDtTcNvSOkQziuPcYpLVm28XykRCIxXVDqQkFiOQ0qOAsUJvzpgsnon604f1lkKlVGbpXM6cybFWvsNB71ejtM8_aKMQM1ngMbT7Or1r7SS3mbf0nCPZe1sASnaicnwu8Oxt6E8IjAIBcAvZekKDKQi37UE9BPSU8wcK8huT3KhselqV-cfh3BoFODrbXdrY5SqY9ukjmXOedjKyYsZjpeW0YVAnzFzrRvdFwxpuDkKELHr1oTi4UJRi7QDsoxZ2dwaU0FpbHi-lNpC79XJP-UNMtI7i83ctHjzvsqz2onVplucN6CPrEBUtYwExYuh1w7ElSHjMkzms_vG5zM4QM58TRCRbweSfY3r5Irr4sqj0TKCJ81zBQ2wyHrB_OOjC2TkM8ZnjORYXhv14Xt2X8LdNcNJjIqXLNuSsBQOb1bpo-M5PMc7go_lDjl5ByAwoIDrLUvdu_w05Yf7YZLYo7FHclnZHRJRr1p_As7JflbgJNshoMAl4kImtICDcdh8fQWP3wE-SeLFwhaJW5bK2Zb0Letqx868MIa3r2dVCWyR0aVMOfF5XHXiqp2b3XaEjLM46kd-jJJvLmR_bU9JOwTe6tuw14WZVdDMkGWNbWh9h10ZDWpcGxbmFEcQRLALA-n0hBqTe4ENiXsKcRKJTUC-ByulwiIiE0sMZfklMGwaLzir6Ou3YgpMVlo4Uq-egAqpM_8Z4k3riWUsPY_OpssDP0pzlXt1xWZR2h0GKoZcbJ8fJQcqtCDNrMHcFen-kvZLy_CteEOoDc2A2QzKVe66s0ZXHIeLz6fZGSpKEH0p7MHD68FzHNFV4eZAFEucyF4IKncoOh_cY_lEPGEVnNbd5r6DIYTrV-c2MI82mlethxmSwGybm5HM5r4sNnD-d9Gvf7zdYR1IGng2Ylazd56BD0Q73OQcW-Mxsf8V8vNZtUOBvRQBUIb9zAaI28XMK2jaTLdkZSHqJvqi5SyKdJmSZYxt2gFIjGcIS4Da26DZAcKny2uABO2BCHYyIPA&reqid=Sc97gpVLcdcbIc2y&type=CLICK&pos=13,13,-19%,Đã bán 129,chamsocme
"Kem sữa nghệ toàn thân dưỡng trắng da body, đánh bay thâm rạn hiệu quả Wonmom 180g",285.000₫,https://tka.tiki.vn/pixel/pixel?data=Hp3Di8ikZPjwTJgp5BIr7wBUjb3Z71YeETUK_NAU39nA1qRv3WnJ7-y83UOfK-LD97oxpC8Bb7gXEk7eU1D1rNezxMMG2mR6FAEQ5fVAeET1ifrpbn_yCKuxXONV9cz00LH-Ui6g1y2j_vLuuWoIQS7HC6vuHad97kBrDVr8PBL4MuiL0tiEWRPswdSDfeZ3wyBLohE2Jr6VO3l2OBxGK1-Vi6pbom7_Hm1NqBT6oVNkE26b2cy-MO9IsdQYvXWAHFEmXgS0yO35UedRInX-vJJvtx1EQE7tH76oV58lWp9-5hezV_f4ANc3Ccj7R4EHdPdFwPL1VpH5v5wgSfPhY1DDQf9oEjA8P5P3RTK2ukFoVvlMANoFe0Gswfl33ASxtW6zbrJx0F99lSHwACj5oX5jIKee-ZX7Ea0twhJd4d40D-b5OKz2Kct9OVnOTEhvrSVom2EgvzNwHdqwHg2DCWGldZQkcqFkOdiC1V0Iw03OlMnaZ4eSq3HUKzfeBz6aUz_MKaLQ6mLACemdiqDJtKaVgtnimYrZNbnGIQ5nnH67zaeQYKr2RAdmZXdESPMdKvaHVy4rdCUGp8sKXLtN3ar5lW4vCMyp24THdOkYIqPK-vpKRu-mTSxEFjPAN5RNKIoBrIeR4pdAQ7zicgvmxVyu2imSwiQJp5EniM4Oft-wAzzmz2t-2qtytkEw6YDnLa5PeElFToeau5YfM3gJvicuEUpgbUdXYFXf3kQEyUnubJgpnBbXCbi-xXvYOccThHmcF0-2JPhN0ohHvG-9mx5pfZS6TGm0jXpGUTiBdQpjTUSPT-GUnJAf-l2c8WPFPbkZB3yxqAFXmeqcXwFnuyXMHwHwySE-7dmASXIjl6lFEPEaxYRlhkCUmJ5IsLtYi2IZc2eYfEmk-hymApgUk7hQHYVeGVcoH9UTPNQNrU7xKt2_JXsK00n4IRjorWEWctMlI7HUmWHai-6dPveh0e05Hov3uKwY9N244212Nt0ipjppxVrNFyr1D3CyNo4Ine7XCf9L75ItzTkC2mIQCJuHMQQQlCpsnKUpEtVblDLqLK8v3RZN9rS8C27D7jauCbUfdApDkJWmw-plORgIF4gQwXDfwjuwHkbuhNhhTjwFs329zsZrXFVyFl9MB255cUwfKvSBEnQjbVsUofg&reqid=Sc97gpVLcdcbIc2y&type=CLICK&pos=14,14,-18%,Đã bán 218,chamsocme
Combo dưỡng trắng body và săn chắc eo sau sinh Wonmom ( 1 Cốt nghệ + 1 Cốt gừng hạ thổ ),410.000₫,https://tka.tiki.vn/pixel/pixel?data=whX_jBigppErz2RTXZzISjsSo9nTSYo-okp3uc3vi23XkRwU0EDV1L3qSnN9aZukn_gArlbBcNoaT61CibLuBiqt2tuUEy81FkQTt11OwNLjeSmVGDoNMOMivXLngtReed8MkU-JglCW6xosZmanBTGJsf4-G32T_dT1foPf-YlM_Lo0Ob_Gq3giCJO8aFRXs64MJmOeOGHZbzPqM4F5FIVTM28qfP67_5uBsTH-YgD7_LIXtJhbJpXf-ciSNwJOvXFJXBrMkt4LbF0-OCUQLPwKJv6p0TMLjYBc3WY-owJPNHVaDJbvyFu84BwEdnaMNa3Ik7MQayDmYFpTJB59aIR6m8MtEXs4XOvt_s7RRf14gBTx8hRI-c3N3du6RXHzTyz6RDfa-n7xAcnXhH5GaNRnFxWAKUlba7U4K8cCNcaUvq3C9kxkAnwiFNDT3SO19kGjPM8bc8MYd32qAXyuf8S8brDEmSls5goopAzzj-uJRHoZ1RJFgT5d8Bvo6rx8hMWCnA5bz-e4lDxHEP20oN1Z3fFYAZfcDYm89hK1dNlLo1BhWbxjaz4DPNXyvsJ65XpV_uBBTfWXlqDxQ9myVwMWcCvekvPzPO1TTcG2ZRhw4yVbSlBbnysg3DCVFzOlrs3eQPHNV1L7PH6XmjwYtdPdTe-eQAvNzyA1W5acQ2vT_2XFkmKs0Soef6G2VsWA9Ky86f4r2I6IdE60_b74rnI5TyhE1p71SYb9HfyEM4Yrdjqg4K3tWKtaI5SnJvw5Xm3sS5mumdls_K5NhFvTbkA7WPz4eSW8_1h2LV5fqUb_lgHv2zHjBzMtD8vFT5J4I4FzPF0cmqW5260UnmB4c_75rsI_VSWjIqs9RJOm_cJ10RZqyCWuu0maTCsnndczaKn6xCWcmGVPD5tqGCQZSIdRyA2IGpPlhcr3RqHwXn-_j0T4AqA3KcM9IJY177xy0VmYql05CNRH-OCb-8rUgGi2v2qj7H_DxXyZgaroFB4GDOAwtaK-XIvGIA6ppoI1QAzIj_zR7rbZRW--0F5XXiQqFHrEcqvjRdCQhbFsdTVkmv_d4_mcHo8x50ENQmK-REEdL2EODZCJ9OvHJD1rRsn2q3_qDN1dsyensggmqLkgKVynXEwbS_nXNBqOsVsgAOwIuQ&reqid=Sc97gpVLcdcbIc2y&type=CLICK&pos=15,15,-28%,Đã bán 9,chamsocme
Hộp 50 túi trữ sữa mẹ Sunmum thông minh 150ml tặng 2 túi ziper,99.000₫,https://tiki.vn/hop-50-tui-tru-sua-me-sunmum-150ml-p230049452.html?spid=230049453,16,-4%,Đã bán 74,chamsocme
MÁY HÚT SỮA ĐIỆN ĐÔI FATZ BABY - CHORUS 2 - FB1182MX,666.000₫,https://tiki.vn/may-hut-sua-dien-doi-fatz-baby-chorus-2-fb1182mx-p177751108.html?spid=177751109,17,-12%,Đã bán 83,chamsocme
Túi đựng sữa mẹ sunmum 250ml (Hộp 50 túi) tặng 2 túi zipper bảo quản,86.000₫,https://tiki.vn/tui-dung-sua-me-sunmum-250ml-hop-50-tui-tang-kem-2-lot-tham-sua-sunmum-p109866598.html?spid=109866599,18,-14%,Đã bán 142,chamsocme
Combo 4 túi đá khô diệt khuẩn unimom tặng 5 zipper 15x20cm,115.000₫,https://tiki.vn/combo-4-tui-da-kho-diet-khuan-unimom-tang-5-zipper-15x20cm-p68033772.html?spid=68033773,19,-18%,Đã bán 337,chamsocme
Lều Xông Hơi Tự Bung Toàn Thân Cao Cấp Gấp Gọn Tại Nhà - Chất Liệu Vải Dày Thiết kế Tiện Lợi - Màu Ngẫu Nhiên,133.985₫,https://tiki.vn/leu-xong-hoi-tu-bung-toan-than-cao-cap-gap-gon-tai-nha-chat-lieu-vai-day-thiet-ke-tien-loi-mau-ngau-nhien-p142798232.html?spid=145765524,20,-18%,Đã bán 72,chamsocme
