title,price,link_item,index,discount,sales,category
Váy da màu đen style bụi,110.000₫,https://tiki.vn/vay-da-mau-den-style-bui-p116136604.html?spid=175722953,1,,,chanvay
Chân váy xoè dài chữ A nhiều mảnh màu đen / xám / hồng/ tím CRXDV26,99.000₫,https://tiki.vn/chan-vay-xoe-dai-chu-a-nhieu-manh-mau-den-xam-hong-tim-crxdv26-p152625860.html?spid=154097932,2,,,chanvay
Chân váy công sở váy bút chì CR48V01 màu đen thun UMI cao cấp,89.280₫,https://tiki.vn/chan-vay-cong-so-vay-but-chi-cr48v01-mau-den-thun-umi-cao-cap-p154096601.html?spid=154096605,3,,,chanvay
"chân váy dài kẻ - 2(kẻ be),freesize dưới 55kg",220.000,https://tiki.vn/chan-vay-dai-ke-p192381313.html?spid=192381328,4,,,chanvay
,,https://tiki.vn/chan-vay-a-cuc-cheo-p144046459.html?spid=144046504,5,,,chanvay
"Chân váy midi công sở, chất liệu vải tây co giãn thoải mái",170.000₫,https://tiki.vn/chan-vay-midi-cong-so-chat-lieu-vai-tay-co-gian-thoai-mai-p186359147.html?spid=186359155,6,,,chanvay
Chân váy công sở ôm body màu đen mã CR53V34R,89.000₫,https://tiki.vn/chan-vay-cong-so-om-body-mau-den-ma-cr53v34r-p154097402.html?spid=154097413,7,,,chanvay
Chân váy ôm công sở CV36,185.000₫,https://tiki.vn/chan-vay-om-cong-so-cv36-p125829226.html?spid=125829249,8,,,chanvay
Váy ngắn tennis xếp ly,150.000,https://tiki.vn/vay-ngan-tennis-xep-ly-p117463209.html?spid=117463217,9,,,chanvay
,,https://tiki.vn/chan-vay-cong-so-dai-vay-but-chi-bigsize-cr53v03-mau-den-xe-sau-thun-umi-co-dan-tu-p154096973.html?spid=154096980,10,,,chanvay
Chân váy xidan lụa co giản (có quần trong) Bigsize 60-85 ký,175.500₫,https://tiki.vn/chan-vay-xidan-lua-co-gian-co-quan-trong-bigsize-60-85-ky-p95137314.html?spid=95137328,11,,,chanvay
Chân váy công sở dài bigsize CR53V03 xẻ sau màu đen dài 53cm,136.000,https://tiki.vn/chan-vay-cong-so-dai-bigsize-cr53v03-xe-sau-mau-den-dai-53cm-p154094742.html?spid=154094872,12,,,chanvay
,,https://tiki.vn/quan-gia-vay-cuc-hoa-3-mau-den-xanh-than-nau-cuc-xinh-p102956723.html?spid=102957626,13,,,chanvay
Váy công sở váy bút chì màu đen CR48V01 chất thun umi co dãn,89.000₫,https://tiki.vn/vay-cong-so-vay-but-chi-mau-den-cr48v01-chat-thun-umi-co-dan-p154097096.html?spid=154097098,14,,,chanvay
Chân váy tennis dập ly cạp thêu chữ M khóa lệ hông chân váy nữ xếp ly có quần trong thời trang Banamo Fashion 599,103.000₫,https://tiki.vn/chan-vay-tennis-dap-ly-cap-theu-chu-m-khoa-le-hong-chan-vay-nu-xep-ly-co-quan-trong-thoi-trang-banamo-fashion-599-p196327252.html?spid=196327548,15,,,chanvay
Chân váy ngắn nữ chất da mềm dây rút 2 bên cá tính màu đen nâu kem thời trang Banamo Fashion 5912,124.000₫,https://tiki.vn/chan-vay-ngan-nu-chat-da-mem-day-rut-2-ben-ca-tinh-mau-den-nau-kem-thoi-trang-banamo-fashion-5912-p196327310.html?spid=196328218,16,,,chanvay
Chân váy công sở dài bigsize CR70V11 màu đen xẻ sau D70 thun umi co dãn từ 45kg-85kg,196.100,https://tiki.vn/chan-vay-cong-so-dai-bigsize-cr70v11-mau-den-xe-sau-d70-thun-umi-co-dan-tu-45kg-85kg-p154098013.html?spid=154098025,17,,,chanvay
,,https://tiki.vn/chan-vay-dam-xoe-dep-nu-tinh-qa00158-p110688909.html?spid=110688978,18,,,chanvay
Chân váy nữ dập ly lưới lưng thun thời trang ulzzang,175.500₫,https://tiki.vn/chan-vay-nu-dap-ly-luoi-lung-thun-thoi-trang-ulzzang-p96749744.html?spid=96749785,19,,,chanvay
CHÂN VÁY REN HÀN - CP KID,170.000₫,https://tiki.vn/chan-vay-ren-han-cp-kid-p167668161.html?spid=167669341,20,,,chanvay
Váy chữ A ngắn xẻ trước màu đen/ màu trắng CRCAV16,162.500₫,https://tiki.vn/vay-chu-a-ngan-xe-truoc-mau-den-mau-trang-crcav16-p96749655.html?spid=96749710,21,,,chanvay
