title,price,link_item,index,discount,sales,brand
"Quần jogger nam nữ thun da cá in chữ phong cách cá tính năng động,màu sắc tươi trẻ dễ phối đồ,Quần jogger nam nữ unisex sắc màu phong cách hiphop cá tính",102.000₫,https://tiki.vn/quan-jogger-nam-nu-thun-da-ca-in-chu-phong-cach-ca-tinh-nang-dong-mau-sac-tuoi-tre-de-phoi-do-p117081625.html?spid=117081635,1,,,NIU24
"Áo thun in hình chú báo dạ quang vàng, nổi bật sắc nét phong cách năng động,Áo thun Nam Nữ form unisex in họa tiết phong cách trẻ trung thời trang in sắc nét chất thun đẹp",125.000₫,https://tiki.vn/ao-thun-in-hinh-chu-bao-da-quang-vang-noi-bat-sac-net-phong-cach-nang-dong-p117082493.html?spid=117082496,2,,,NIU24
"Áo khoác dù kiểu bomber nút cài phong cách năng động thể thao Dù 2 lớp bao đẹp, hợp trời se lạnh hoặc tránh nắng",102.000₫,https://tiki.vn/ao-khoac-du-kieu-bomber-nut-cai-phong-cach-nang-dong-the-thao-du-2-lop-bao-dep-hop-troi-se-lanh-hoac-tranh-nang-p117082527.html?spid=117082540,3,,,NIU24
"Áo hoodie nam nữ in hình hoa hương dương siêu đáng yêu,dễ thương màu sắc trẻ trung cá tính dễ mix đồ,Áo hoodie nam ấm áp in hình cá tính mẫu Hot thu đông",125.000,https://tiki.vn/ao-hoodie-nam-nu-in-hinh-hoa-huong-duong-sieu-dang-yeu-de-thuong-mau-sac-tre-trung-ca-tinh-de-mix-do-p117083781.html?spid=117083790,4,,,NIU24
,,https://tiki.vn/quan-kaki-nam-4-tui-hop-bo-lai-cuc-chat-chat-kaki-mem-khong-xu-long-phong-cach-ca-tinh-p117083347.html?spid=117083363,5,,,NIU24
"Áo khoác dù nam nữ in hình sấm sét,vải dù 2 lớp mềm mịn chống nắng giử ấm tốt,phong cách năng động cá tính,Áo khoác nam Áo khoát nam gió dù 2 lớp chống nắng 1 Line Nhỏ đẹp cá tính đẹp cá tính",102.000₫,https://tiki.vn/ao-khoac-du-nam-nu-in-hinh-sam-set-vai-du-2-lop-mem-min-chong-nang-giu-am-tot-phong-cach-nang-dong-ca-tinh-p117083244.html?spid=117083262,6,,,NIU24
"Quần Jogger nam kaki túi hộp phối màu xanh,kiểu dáng năng động cá tính style Hàn Quốc tôn dáng cho người mặc,Quần jogger nam nữ túi hộp kèm dây xích cá tính năng động phong cách street style thời thượng quần cá tính",103.000₫,https://tiki.vn/quan-jogger-nam-kaki-tui-hop-phoi-mau-xanh-kieu-dang-nang-dong-ca-tinh-style-han-quoc-ton-dang-cho-nguoi-mac-p117083609.html?spid=117083618,7,,Đã bán 2,NIU24
"Áo thun phản quang 7 màu in gấu dễ thương trẻ trung, năng động cá tính,áo thun phản quang gấu in sườn phom rộng cá tính",102.000₫,https://tiki.vn/ao-thun-phan-quang-7-mau-in-gau-de-thuong-tre-trung-nang-dong-ca-tinh-p117084177.html?spid=117084179,8,,,NIU24
"Áo Khoác Gió Nam Nữ in LEAS Bomber Jackets Dù 2 Lớp Form Rộng UNISEX WOLLAGEE Chất Liệu Vải Poly Giữ Ấm Tốt Chống Bám Bụi,Thiết Kế Trang Nhã",107.000,https://tiki.vn/ao-khoac-gio-nam-nu-in-leas-bomber-jackets-du-2-lop-form-rong-unisex-wollagee-ak2261-p127351826.html?spid=127351848,9,,,NIU24
,,https://tiki.vn/ao-bong-chay-nam-form-rong-vai-nhung-ao-bomber-nam-form-rong-unisex-mau-xanh-mac-nha-di-choi-thoi-trang-ulzzang-p126131565.html?spid=126131617,10,,,NIU24
