title,price,link_item,index,discount,sales,category
Áo khoác da nữ xịn sò cá tính cho nàng mạnh mẽ chất lừ hot hit thu hút ánh nhìn thời trang kim gia,249.000₫,https://tiki.vn/ao-khoac-da-nu-xin-so-ca-tinh-cho-nang-manh-me-chat-lu-hot-hit-thu-hut-anh-nhin-thoi-trang-kim-gia-p173816703.html?spid=173816709,1,-12%,,aokhoacnu
"Áo Khoác Nỉ in Couple Baby, Chất Nỉ Bông Mịn Đẹp Áo Khoác Hoodie Zip Unisex Nam Nữ, Áo Khoác Hoodie Nỉ Bông Dây Kéo Zip Baby FACE SMILE Form rộng Unisex Nam Nữ Cá Tính Ulzzang KUN",102.000₫,https://tiki.vn/ao-khoac-ni-in-couple-baby-chat-ni-bong-min-dep-ao-khoac-hoodie-zip-unisex-nam-nu-p136581729.html?spid=136581883,2,,Đã bán 35,aokhoacnu
Áo Khoác Cardigan Hàn Quốc Thêu Sắc Nét -Chất NỈ Ngoại Form Unisex Nam Nữ Mặc Cặp thoitrangsihienlinh,90.000₫,https://tiki.vn/ao-khoac-cardigan-han-quoc-theu-sac-net-chat-ni-ngoai-form-unisex-nam-nu-mac-cap-thoitrangsihienlinh-p108364902.html?spid=127123051,3,-47%,Đã bán 22,aokhoacnu
"Áo Hoodie Nỉ Unisex Form Rộng Xanh Rêu EIGHT Hot Trend, Áo khoác hoodie xanh rêu EIGHT chống nắng vải nỉ lót bông nam nữ unisex, Áo thun tay nối form rộng chữ in vải mềm mịn",150.000,https://tiki.vn/ao-hoodie-ni-unisex-form-rong-xanh-reu-eight-hot-trend-ao-khoac-hoodie-xanh-reu-eight-chong-nang-vai-ni-lot-bong-nam-nu-unisex-ao-thun-tay-noi-form-rong-chu-in-vai-mem-min-p270068783.html?spid=270803565,4,-25%,Đã bán 1,aokhoacnu
,,https://tiki.vn/ao-khoac-da-dang-dai-bigsize-cho-nguoi-beo-map_tb-138-p195749227.html?spid=195749239,5,,,aokhoacnu
ÁO KHOÁC DẠ CAO CẤP,550.000₫,https://tiki.vn/ao-khoac-da-cao-cap-p45292441.html?spid=45292447,6,-16%,,aokhoacnu
ÁO KHOÁC LÔNG CỔ TRỤ CHIPI MỀM MỊN ĐẸP ẤM,119.000₫,https://tiki.vn/ao-khoac-long-co-tru-chipi-mem-min-dep-am-p193858691.html?spid=193858699,7,,Đã bán 2,aokhoacnu
"Áo khoác len, áo cardigan len nữ 2 túi xẻ tà nhiều màu Haint Boutique HB15",219.000₫,https://tiki.vn/ao-khoac-len-ao-cardigan-len-nu-2-tui-xe-ta-nhieu-mau-haint-boutique-hb15-p72331718.html?spid=72331724,8,,Đã bán 14,aokhoacnu
Áo Khoác Nữ Chấm Bi Phúc An 4033 Màu,85.500₫,https://tiki.vn/ao-khoac-nu-cham-bi-phuc-an-4033-p8058340.html?spid=8058364,9,,,aokhoacnu
,,https://tiki.vn/a-o-khoa-c-dirtycoins-love-corduroy-shirt-jacket-brown-p263494442.html?spid=263494446,10,,,aokhoacnu
Áo Sweater - Áo Khoác Nỉ Nam Nữ Unisex 20INCH 3 Màu,112.000₫,https://tiki.vn/ao-sweater-ao-khoac-ni-nam-nu-unisex-20inch-3-mau-p87217905.html?spid=87217907,11,,Đã bán 7,aokhoacnu
