title,price,link_item,index,discount,sales,category
Combo Tiết Kiệm: 6 Gói Khăn Ướt Bobby Care Bổ Sung 80 Miếng/Gói,157.000₫,https://tka.tiki.vn/pixel/pixel?data=h-CDpfW0v6uWpqNRBH6GdxKK4FlsJsV5NmJZT1R-t1sbTTL7ULEaJuaX0MVmPnBm2_skZnN0_2f2XncJYqQ0hi2QR0ZXE1FADxqXsB0j7YTE5jn2fOzATSsx2grPyfx3BXLy58YFdgbfAy_dDHW97YqFUYAqlmbC2ao6H8YowH9Xlr_KFnGcOYdzMeG1ko6e_6U_wD09gIEC49X8a7KFIKkn3LeAnkW9rWjXqbJhSgMWPveMy5_eTX_ckV02NYyRcQGeAquHRBigV770fUITofy8ga-5qXvBqkAB_ZXztgpwJctj3mFAqVmVyWP-KM_i5_0kcrpXV6bAdASJ9la5kfcv1f0KWcTf2umcAgRlDNIOLzdk2EIfINPUdTU1mysbQTDkphi3gv_j1uUJjKY7xgQ75oTL8sJSwlO3O0vGnSyGyUFOE9yzBgx4tGJMoWJU8srFNz1aV4KQ_zC-9PqXY_KL7CZADTXu82EsH5rFiVC4X5nXD5uALxqc4Tkuce4INRpOTDd7JpJgX3HBFeynt2V30NgGRN_I2Xs_GPlsjH_0_U3U42FnGX4vZFe0b5FaAtpHXw9sxHmiehELQNq9qjMEcq1UDBs40KIW84iNOo73859Z33WOFp7cxXD6eg1vGRWTJhS4blZm6JF-F9ZXig2X1FffYf5jgts1jvvn0uBJHLV0WhkQbd6CdaiyyWMvveAsnJIgtH6-BuRcJLffna6_EgEqz4Flpg_JvanjEg-p5evFdZxXA2__iTHiLAlULZ9KVjI0iSamEUcBlE1W_ofNIIzZXBYBvqcqQddzsXFiveD18ZHc8HcWrGYCMiaWxc4NOxA1brGGXK9IC8n8bdNRuyoKpN_WRetR3RTJYNN_CY2Dn9KJK-A68QoaYuYgUJHNw3yWnnsXB0f2fknEOuZdWEp4O1ZB_zVVS7LSMTx43JJAiPqgjWQvs1xYttmexbMePJxeYT894EbfmzvgBZo2ZP3TGuUaogPjcjBh5arsp2BTkj_5JjDUmigxc7ieX7kW_JXDDKBg3qxu0vTbHcIhBTkP07Y7viLWswUmFZaPzC4Yq1lbwB_mjsaIWwgGINhcAw-3H7WqXWBHAu68t20k55cNk2EHidINWbIT2cx0R2iowyVKdCuDLRPrk3q04C2LcSLMWQZyIw_J7F5acBUIEoE-l_HjS4C2pOrI9MmVoSooh2kDJAG6&reqid=Macy2oqJYsinInco&type=CLICK&pos=1,1,-32%,Đã bán 5k+,tabim
Tã/bỉm quần HUGGIES SKINCARE MEGA JUMBO size XL 84+4 miếng,385.000₫,https://tka.tiki.vn/pixel/pixel?data=qdTJbb4R0JgYFpQO_jGmxrfS1i2Bf0imo5pR7PdBhCquId5Op0Y00XfR3FLGMenBJLnSvIvRrPmK5wFycEPs9L-id_m4tMFh2Czq6G67TLdgcPjdBijWTU2rLMxgZv2DTo2iXQFoYEmQdoTnrG0AW_p9aJFbLUnBqJLHS479MZLSoBwUjaEHoDxcBOwxwijLaWBUZB_CUe7Wpt2akS_oNzhGC-3EFIoihsm_H2I_6l9-a3N_q464XMcN0r3uuLkG4wQq9OdiS84lG4Lir4jCWXQuXt2XD3Wt05TwbjC9abZqrP1E2t08_ExLB9QYQTsgpaCFDrS_Fn3WrsbosPM5-pnSvGIZ-wZ1BcJo5EJPQtJhm1Aa5B9V_La-wgUiys3qQFylQuiEMJ1QZM4KNcL4ZCx9q2tGxSZQPLBmD4BQS5VP8-n6CYnDRUdpTyZ3VifkJQVPf-Gl1Czf_pFQRBQ5fiNXI8Mp9dsJkiGGtiIvVNqnBISKEPvmnE_BI6HhX5l15Td3rUFGqpYTcyCY586kHtMR1jY4jH1iKlvI_N5pQILgM8JCfoOHqO4sH8Ly0XVzZkTZLiq5dUwyekHYub-XinaiRWkpGKb_is3Gjn69LkTBFyaGtcHjgDGxaolS6nwE6ijftbfSMZvoWW6wZlPIAzVZFeLYUb-s7NMwRIaf4AigUbFXmUzh0vP38w7IpgX5BQNyh452yAD6O7m-4vn866Ytu7I49wgNIL0sHMhMTGBv0rmzgqnqSsS1DvvN7PSLTfuJi32LF-B8ulcvGozvLlGnRt6YBghpefH7UCep7cp3fD1sLBtBOSfPKNTGEGVPKQOR5tx0dX8kPqH41RLBqQYDg88i2-7oWaqkzy2qDZ8KZl79acHJ5FshOBPXGpFTN9KtjP3gRwIYmoXzDwAte1fxM97voke08nTFVcacTWJX2CpRRqJWr4MUI-eG-5gfa9Lpbl1U1WCxn-NGNz5zud_o2gwCsCZ9ap2PnzzoebkVNaK4lv2TrnGNTwQzn16O82YS9CdMSaaMhiPbq2Npk_apsBv5NI8Ntcp7WeaRG4iZMG0UvTxdp4WjKLqDP80OZjND9b8VrpLWZlDQMGoTD-H7iwNe1HzeAxu_iOoCa4HfGb0rlQ&reqid=Macy2oqJYsinInco&type=CLICK&pos=2,2,-40%,Đã bán 5k+,tabim
Combo Tiết Kiệm: 6 Gói Khăn Ướt Bobby Care Không Hương 100 Miếng/Gói,185.000₫,https://tka.tiki.vn/pixel/pixel?data=XVWE7yOZcB-garSe71BS5hTr6VrYswhcQP6NqYXqeOMgb6B7-js6XlaVKNGTVUAZQcZ3kpgLrohOI2sZfLtGS0AzYle8E7Js--SD2L5fheb-R7QMJLNF9VU95jrgFZ4UhEp1fPB5_NN6Dgcj0sRJN5a5YghJJ8x_Z5jVJSpP2Q0T1ELHM8ieRgjEtu2yLn4pU8UJhuPVK8CavRH61yfYmLdYVaermt1tmbUvvUpDSg_AJmwKeIEc9fq8d4-9-Z7eMnwbXREfkfsvmMGZJi4H4ixIb4OU49tG10Ub6PPxzpEH9B_SdU0CWR2j--KihpCNNZlfzzdKvf0PQwOTRevQd7hCg3Lk-hYcAiZx5RSSJwYW8GUnEK5WN-tNdB7cYNcKwXy4QF9rr7GNi9AFU7wQSW0VqPg6aYEXUgnhcApCxHKNX5g6Cl3yBJ5TtG4Fijy87_lRmD03-4aH5h4LJiSBJgep2xxSJX-8knUR6_o8sZBz0ZLX3rwWHWF8-VbtQSsrUhfGaX8meqJVZ1CwrspSjN_ZGyMTji3A33wJVCzb22tYyUvQuysz5Q9pw8zNQFbgodZx5ODNRZ1_4Ddb-mtiJkep608dvwMFG86O0kTPlo3-U8llsL3sP5WNn-Iv6jNLrHGT7qtKQlVlNVQxarRaLP4kQEU-xOpvF5bjPS3z-ooR12Ffx-Fa6cJgZ_vQuIofrZmESMf8l03Az6ctxYBYyI-wqqoPni4HAopXNY7DoFcZydLNuhPsBXBlKg_BYQbOs3WVu9smF2vZyCMbgE5m2bNPS-2uAS79rcsTMWbbezZgvyw8NeDyvyRP4dJmmxOHAAbkQuughM_B8WDHtuyaQzTOgaZ-YSJK9WiUZVvU8L7VrP6QTgIQvBADgpvbFtWjZ_yVIqsz5_6amGJQntL_wJUoTTJT8NycPSau9tA8knwjiMK6eljRYqq-ubv3g7cFwNbKY0vEZXrIPHEgIACoQN_Lg2GD4Mw34XWiEed2k9gWt1--Fvj7CAkfhiQHftcLOohUvlF9FaxezN_F3lHjD1c3Versk1BeJc7zqv3TEIspWYl6wLx4eKUeauFTrqe9Ctht4ytoFR_w0PH65ofwWSzrTnql8HwV_mLfr5K3eAv7_eulvdMbgun6p8K2gcOUuFSWFmiXQNITbZjDWQ&reqid=Macy2oqJYsinInco&type=CLICK&pos=3,3,-34%,Đã bán 5k+,tabim
Tã - Bỉm người lớn Livedo size L (22 cái/ gói) tặng 3 băng vệ sinh nữ Abri San,730.000₫,https://tka.tiki.vn/pixel/pixel?data=8KzSf_46RVh3ZCBucXFMXSe7hZNZMmQ9rp5TSHyLWrXUqQYanDxUEBlmYHLe113c_YzpxnCnxlxGXGItBrxZpUDSMfnDonM5tmI-rbArpGk3dVGEsF8YRjXXlGO1KJpPX6vGKhWgb20TGhCsH3Si4KSEbQGUYIKx5dlUokXNqpCr8I4GqJQWWFz0O_0QgIs9jCKWU1v_NkkqQEq74bsTJxpJBF9G3JXhgM_6ZSKgiB9j9H5H6DXQfcv6HXgmryt0m6L10zwdQRsbzjTxtNIOe4r5RU7-vpS0cv6ViZmbpQcsTCz-ilrwHdMRXfccsqH79nSTloYP20T-uBZIKFWXWRx0uo3b_2tDmG6qYGbyumMbV_E6nbV_EyujQQzIGklFZQhZfFF2EMynQg_Nwm5JZEihdWIar9C1xfyXx98pUeBm2yZYgoMJ32WyucpfEv8slsVw0t03Z2M6B8V3HJTUC6rPDv0ur9Foy6IJdYJirrug-J00YrGu0UcLyv7aL-CfNIyNH_vtHmd6Fsa6tdVRLaL_1DH6ntWpV9uGX3YK6mpffG9HBWDPmLUYU1ho3kaWFUxBkJ4J3XttIG3FnnjG4vDZQOXu816bHMMaQvL5RMpaE61LSf4ltqzJ1wvTjZcG3tUdqTUHMATIthws_53j7Xqz5QCgw-4VoTdKpcHoxlwFf9l3U19Za4wHIP2BWaUm5EGwCogOBQVrIwzsl_8n6fqnKRhVmEv5S-Q1U3xQypRQWGmMASi2SLPOVXsq6BRsAgVXvdiaLFXCNqI1asrJNVoiQ3BQTRhgyrTOZlnEXH3AtOoqr6m00MUh5krTLL1o8PjchG3F9vHYOrZWB265E5QwYYBQyqU7cBYi8phJ1h-F9klQg9afi9J8keT-O7o6h-S0ez-NXT70jkWGrv9B96mLAE7jLhik2myVnYA8L0cjuFfE_VZfR8MJ3FM5D8tBcpVxNjoG5CEcIrVb0xDKlkJvl1DJfbayxkYMfSSAxlekNNzad7P1nAIrO-YsLGXateO37WixOTuqGFcLfdGjuMBgcixxSlOsbFt-Cj6SuAEK6nEbJVNPxNw&reqid=Macy2oqJYsinInco&type=CLICK&pos=4,4,-40%,Đã bán 12,tabim
Tã - Bỉm quần người lớn Livedo size M - Nhật bản,515.000₫,https://tka.tiki.vn/pixel/pixel?data=ht3f8YvbrZ06NBzjs307ljxj9V9hEyrnBdx0Sj2MGfmEKXkRzYyYDXuL24vHg5n_4AWLplik5S_53vU2G5YL5dZxuGOCi6VCMRCpNFzT9p84J9vCFfjGc1aNxm20c0ol8ggLivLxdMOZk3OmZB_VooJjAPPFPc2j464BhgW61imoozNiZPQg_o6U_38NS1aCgOUyxAaZl-Yj3sQ6jAVWxkUFl9P0uQDzpeyYoPNVj0j8YTMvS6Qk7fbj9hpeRthEaikzhUdKK2fj1LeNAdLQSFUVcX_og3qYvUog3JbjUqYaaZO_DcCNVGUeMNQfV9I3dTIwIAxTSauITRe5-ojrDYnlXz3gFPhOnX8Wd7Ohy3pYjT9zXSyM5GoQiN6650ihXLyVexXuZQYG_N2t_NZkXIgftcffzfS94mBBximAAzH5AQgr4DkhlskftAHmcKdj6SIiU4ISxQkLrQbW2zOtUpgmhREK45LBgeJfkPEcR3YIeAKNFFovhSVtwmJxUlNlPs-10DWIAAw5DgLgkJscTjh92DazwN9kziefuNEIRCh74U0QCRxulV3U-owyt0Ez7M3XraRYaqgcMdkRjwV2sddm9XjGvdUDL5elHPrv4KHxaO2UK3Q9tsbecmn7FWU3BHaovUuqY8NSlUs-qvFfrIIh_XH9YcL2fuH5V3tvW3Cht5yvvQx23QD68UJ4s3SuNnXhWDly3e_Ej1nH4sf_oc8v9EGI-1RBgdCqweeV4i2UlH5fZvhPV76L_mJbmyIBboYwONtSVmtcSZksgFXvnE7qUtGg6CI_bP8--T1Mf91vVqx7NXe0uFjur7BA2U4Zg-A40kDCRj2ChClwd4ytpWVmkLyS5XgXeaNVewHAtU8jAjL9kDIRhp54OMg1iuRywIewixRkhb3k91HujdK7Ar0_cwWdmkJgUu0544H-KYpjIP4xWH2aXdg5byKIHAmHey8Xn7tKD4CI-nHocmTXvXCOUxUuSc6KCB9roZq_XGa2shcflkjAafTfkKcWz9OxyEbwBjFX7iMhVJBcA-VBVIIK-YqevuE&reqid=Macy2oqJYsinInco&type=CLICK&pos=5,5,-39%,Đã bán 24,tabim
Tã/bỉm quần HUGGIES SKINCARE MEGA JUMBO size XL 84+4 miếng,385.000₫,https://tiki.vn/thung-ta-bim-quan-huggies-skincare-mega-jumbo-size-xl-84-4-mieng-p252608882.html?spid=252608883,6,-40%,Đã bán 5k+,tabim
Tã/bỉm quần HUGGIES SKINCARE gói SUPER JUMBO size M 76+8 miếng,289.000₫,https://tiki.vn/ta-bim-quan-huggies-skincare-goi-super-jumbo-size-m-76-8-mieng-p252608891.html?spid=252608895,7,-40%,Đã bán 5k+,tabim
Tã/bỉm quần HUGGIES SKINCARE MEGA JUMBO size L 96+8 miếng,385.000₫,https://tiki.vn/thung-ta-bim-quan-huggies-skincare-mega-jumbo-size-l-96-8-mieng-p252608888.html?spid=252608889,8,-22%,Đã bán 5k+,tabim
Tã/bỉm quần HUGGIES SKINCARE MEGA JUMBO size XXL 76+4 miếng,385.000₫,https://tiki.vn/thung-ta-bim-quan-huggies-skincare-mega-jumbo-size-xxl-76-4-mieng-p252608903.html?spid=252608905,9,-38%,Đã bán 3.8k,tabim
Thùng 3 tã dán sơ sinh Huggies mới S54 (4kg-8kg) - Gói 54 miếng Tràm Trà + Tặng 6 miếng,515.000₫,https://tiki.vn/combo-3-ta-dan-so-sinh-huggies-moi-s54-4kg-8kg-goi-54-mieng-tram-tra-tang-6-mieng-p220822718.html?spid=220822719,10,-40%,Đã bán 2.1k,tabim
