title,price,link_item,index,discount,sales,category
"Máy (Nồi) Làm Tỏi Đen Nikio NK-688 - Dung Tích 5 Lít, Làm Được 1.5 Kg Tỏi, Công Nghệ Ủ Tỏi Nhật Bản Cho Tỉ Lệ Thành Công 99%, Tự Động Sấy Khô Giúp Tỏi Thơm Ngon Chuẩn Vị - Đỏ Tím",1.690.000₫,https://tiki.vn/may-noi-lam-toi-den-nikio-nk-688-dung-tich-5-lit-lam-duoc-1-5-kg-toi-cong-nghe-u-toi-nhat-ban-cho-ti-le-thanh-cong-99-tu-dong-say-kho-giup-toi-thom-ngon-chuan-vi-do-tim-p35876349.html?spid=36159271,1,-23%,Đã bán 29,dodungnhabep
Lưỡi Dao Máy Xay Sinh Tố Công Nghiệp Omniblend V TM800A – JTC,239.000₫,https://tiki.vn/luoi-dao-may-xay-sinh-to-cong-nghiep-omniblend-v-tm800a-jtc-p126035542.html?spid=126035543,2,-5%,Đã bán 66,dodungnhabep
"Ấm sắc thuốc,Tự động tắt sau khi sắc còn 1 bát thuốc",240.000₫,https://tiki.vn/am-sac-thuoc-tu-dong-tat-sau-khi-sac-con-1-bat-thuoc-p115669114.html?spid=125680010,3,-5%,Đã bán 16,dodungnhabep
Nồi cơm điện Kim cương 8 lít nắp rời - Hàng Chính Hãng,1.793.000₫,https://tiki.vn/noi-com-dien-kim-cuong-8-lit-nap-roi-hang-chinh-hang-p203200783.html?spid=203200784,4,-16%,Đã bán 2,dodungnhabep
,,https://tiki.vn/lo-nuong-thuy-tinh-sunhouse-sh416-do-hang-chinh-hang-p449006.html?spid=179793199,5,-23%,,dodungnhabep
Máy xay thịt làm xúc xích lạp sườn bate v.v A120,980.000₫,https://tiki.vn/may-xay-thit-lam-xuc-xich-lap-suon-bate-v-v-a120-p73506477.html?spid=202346787,6,-41%,Đã bán 3,dodungnhabep
Máy làm tỏi đen Luva A6(6L),2.499.000₫,https://tiki.vn/may-lam-toi-den-luva-a6-6l-hang-chinh-hang-p11197638.html?spid=11197642,7,,Đã bán 193,dodungnhabep
"Máy Đánh Trứng Cầm Tay Fmall – FD1 Đa Năng, Sạc Pin Tiện Lợi, Xay Tỏi Ớt, Hạt Tiêu, Máy Đánh Sữa Cafe Mini Không Dây, Tiện Dụng – Hàng Chính Hãng",229.000₫,https://tiki.vn/may-danh-trung-cam-tay-fmall-fd1-da-nang-sac-pin-tien-loi-xay-toi-ot-hat-tieu-may-danh-sua-cafe-mini-khong-day-tien-dung-hang-chinh-hang-p174025439.html?spid=174025445,8,-17%,Đã bán 72,dodungnhabep
Máy Nướng Bánh Tổ Ong Waffle 350w,179.550₫,https://tiki.vn/may-nuong-banh-to-ong-waffle-350w-p124274857.html?spid=124274886,9,-15%,Đã bán 11,dodungnhabep
,,https://tiki.vn/bep-gas-duong-doi-sunhouse-shb3336hp-hang-chinh-hang-p7319933.html?spid=99302965,10,,,dodungnhabep
"Máy Xay Thịt, Xay Ăn Dặm Cho Bé BEAR QSJ-B02U2, Xay Cực Êm Dung Tích 0.6L, Công Suất 200W - Hàng Chính Hãng",422.750₫,https://tiki.vn/may-xay-thit-xay-an-dam-cho-be-bear-qsj-b02u2-xay-cuc-em-dung-tich-0-6l-cong-suat-200w-hang-chinh-hang-p188783663.html?spid=247669128,11,,Đã bán 1,dodungnhabep
"Máy xay sinh tố công nghiệp Osako Os.1560, cối 2lit, có chức năng rau quả và xay đậu đỗ hạt khô, màu đỏ-hàng chính hãng",1.430.000₫,https://tiki.vn/may-xay-sinh-to-cong-nghiep-osako-os-1560-coi-2lit-co-chuc-nang-rau-qua-va-xay-dau-do-hat-kho-mau-do-hang-chinh-hang-p202804877.html?spid=202804878,12,,Đã bán 1,dodungnhabep
,,https://tiki.vn/sieu-sac-thuoc-bac-tu-dong-3-3l-ladomax-ha-8833-than-gom-su-trang-men-hang-chinh-hang-p270466895.html?spid=270466896,13,,,dodungnhabep
"Nồi Cơm Điện Mini Đa Năng 1,2L Hàng Nội Địa Cao Cấp (Nấu Cháo, Chưng, Hấp,...)",261.000₫,https://tiki.vn/noi-com-dien-mini-da-nang-1-2l-hang-noi-dia-cao-cap-nau-chao-chung-hap-p110737414.html?spid=197124204,14,,Đã bán 9,dodungnhabep
Máy nướng bánh mỳ tam giác tại nhà - GDHN Loại Tốt,209.999₫,https://tiki.vn/may-nuong-banh-my-tam-giac-tai-nha-gdhn-loai-tot-p126522132.html?spid=132776234,15,,Đã bán 2,dodungnhabep
Máy xay hạt cafe cầm tay siêu nhanh 150W,205.508₫,https://tiki.vn/may-xay-hat-cafe-cam-tay-sieu-nhanh-150w-p73117256.html?spid=198498106,16,,,dodungnhabep
LÒNG NỒI CỦA NỒI ÁP SUẤT KHALUCK - 6 LÍT - HÀNG CHÍNH HÃNG,299.000₫,https://tiki.vn/long-noi-cua-noi-ap-suat-khaluck-6-lit-p263293988.html?spid=263293990,17,,Đã bán 1,dodungnhabep
,,https://tiki.vn/may-lam-toi-den-tiross-ts908-6l-bac-hang-chinh-hang-p198292448.html?spid=249521063,18,,,dodungnhabep
Nồi kho cá Đạt Tường 1.5 lít SNK-1.5 (Hàng chính hãng),194.000₫,https://tiki.vn/noi-kho-ca-dat-tuong-1-5-lit-snk-1-5-hang-chinh-hang-p14190589.html?spid=23397973,19,,Đã bán 219,dodungnhabep
Máy hàn miệng túi cầm tay/ Máy hàn mini,65.000₫,https://tiki.vn/may-han-mieng-tui-cam-tay-may-han-mini-p143915216.html?spid=171574593,20,,Đã bán 31,dodungnhabep
Ấm pha cà phê bằng điện phong cách Ý 3-6 tách 300ml,699.000₫,https://tiki.vn/am-pha-ca-phe-bang-dien-phong-cach-y-3-6-tach-300ml-p34233443.html?spid=59319947,21,,Đã bán 49,dodungnhabep
Bếp Gas Dương Đôi Mặt Kính Để Bàn Sunhouse Day’s DAB2106 - Chính Hãng,570.000₫,https://tiki.vn/bep-gas-duong-doi-mat-kinh-day-s-dab2106-hang-chinh-hang-p11772352.html?spid=11772353,22,,Đã bán 261,dodungnhabep
[Hàng Chính Hãng] Máy Ép Hoa Quả Chậm Trục Ngang Cao Cấp Promix SJ-02,2.250.000₫,https://tiki.vn/hang-chinh-hang-may-ep-hoa-qua-cham-truc-ngang-cao-cap-promix-sj-02-p163477499.html?spid=191920094,23,,,dodungnhabep
Bếp hồng ngoại Sunhouse SHD 6011 - Hàng Chính Hãng,531.000₫,https://tiki.vn/bep-hong-ngoai-sunhouse-shd-6011-hang-chinh-hang-p203317310.html?spid=263702560,24,,Đã bán 1,dodungnhabep
Vỉ nướng bánh mì Cusinart CPT-3000HK - Hàng Chính Hãng,1.720.000₫,https://tiki.vn/vi-nuong-banh-mi-cusinart-cpt-3000hk-hang-chinh-hang-p168213983.html?spid=168213985,25,,Đã bán 1,dodungnhabep
,,https://tiki.vn/may-xay-mini-may-nghien-bot-ngu-coc-mini-xay-hat-ngu-coc-hat-gia-vi-do-kho-p97537040.html?spid=185656125,26,,,dodungnhabep
Cối Xay Sinh Tố Công Nghiệp Jtc Omniblend (Cối + Nắp + Lưỡi Dao + Que Khuấy) - Hàng Nhập Khẩu,1.199.000₫,https://tiki.vn/coi-xay-sinh-to-cong-nghiep-jtc-omniblend-coi-nap-luoi-dao-que-khuay-hang-nhap-khau-p29825392.html?spid=29825394,27,,Đã bán 171,dodungnhabep
"Máy Xay Thực Phẩm Đa Năng, Máy Xay Ăn Dặm BEAR QSJ-D02Q1 Xay Cực Êm An Toàn Vệ Sinh Dung Tích 0.6 Lít Công Suất 200 W - Hàng Nhập Khẩu",659.000₫,https://tiki.vn/may-xay-thuc-pham-da-nang-may-xay-an-dam-bear-qsj-d02q1-xay-cuc-em-an-toan-ve-sinh-dung-tich-0-6-lit-cong-suat-200-w-hang-nhap-khau-p250752492.html?spid=123729255,28,,Đã bán 29,dodungnhabep
Máy Làm Bánh đa năng 3 trong 1 thương hiệu DSP KC1049 - 3 loại vỉ nướng đi kèm - Công suất 750W - Hàng Nhập Khẩu,876.000₫,https://tiki.vn/may-lam-banh-da-nang-3-trong-1-thuong-hieu-dsp-kc1049-3-loai-vi-nuong-di-kem-cong-suat-750w-hang-nhap-khau-p155761950.html?spid=155761963,29,,Đã bán 1,dodungnhabep
"Ấm Điện Siêu Tốc Inox Cao Cấp 1,8L Cách Nhiệt An Toàn",69.750₫,https://tiki.vn/am-dien-sieu-toc-inox-cao-cap-1-8l-cach-nhiet-an-toan-p90940943.html?spid=121065792,30,,Đã bán 1,dodungnhabep
,,https://tiki.vn/may-ep-trai-cay-promix-fj-01-1000w-hang-chinh-hang-p184697577.html?spid=184697579,31,,,dodungnhabep
Nồi Chảo Lẩu Điện Đa Năng MD-CL8399 Kèm Khay Hấp - Hàng Chính Hãng,370.000₫,https://tiki.vn/noi-chao-lau-dien-da-nang-md-cl8399-kem-khay-hap-hang-chinh-hang-p128810622.html?spid=128810623,32,,Đã bán 3,dodungnhabep
Máy Xay Đa Năng Japan New - Xay Thịt - Xay Đá - Hoa Quả - Xay Sinh Tố,113.000₫,https://tiki.vn/may-xay-sinh-to-da-nang-japan-new-xay-thit-xay-da-hoa-qua-p62248218.html?spid=108904475,33,,Đã bán 1,dodungnhabep
Bếp Vỉ Nướng Điện Không Khói Đa Năng Cao Cấp - Hàng - Loại Tốt,203.000₫,https://tiki.vn/bep-vi-nuong-dien-khong-khoi-da-nang-cao-cap-hang-loai-tot-p129623751.html?spid=271557056,34,,Đã bán 29,dodungnhabep
