title,price,link_item,index,discount,sales,category
"Quần Jeans Nữ, Quần Bò Nữ Màu Đen Ống Loe Dài Co Giãn",377.000₫,https://tiki.vn/quan-jeans-nu-quan-bo-nu-mau-den-ong-loe-dai-co-gian-p83605767.html?spid=83605794,17,,Đã bán 1,quannu
,,https://tiki.vn/quan-dui-nu-quan-short-nu-chat-dui-cap-chun-ca-tinh-theu-chu-p93312922.html?spid=103508714,18,,,quannu
Quần bò nữ- quần bò bagy nữ dáng lửng siêu xinh siêu rẻ nhé,109.650₫,https://tiki.vn/quan-bo-nu-quan-bo-bagy-nu-dang-lung-sieu-xinh-sieu-re-nhe-p107638123.html?spid=178210874,19,,Đã bán 1,quannu
Sườn Xám Cổ Tàu Trung Hoa Lụa Ánh Kim Tone Vàng Sang Trọng Mia Dress,490.000₫,https://tiki.vn/suon-xam-co-tau-trung-hoa-lua-anh-kim-tone-vang-sang-trong-mia-dress-p215541590.html?spid=215541596,20,,,quannu
Quần Dài Ống Rộng Họa Tiết Sọc Caro Thời Trang Cho Nữ,86.000₫,https://tiki.vn/quan-dai-ong-rong-hoa-tiet-soc-caro-thoi-trang-cho-nu-p57837289.html?spid=79579707,21,,,quannu
Quần tập gym nữ,79.000₫,https://tiki.vn/quan-tap-gym-nu-p3928089.html?spid=3928093,22,,Đã bán 94,quannu
Quần Baggy Tây Nữ Cúc Bọc 095 Big Size 40-80kg,148.200₫,https://tiki.vn/quan-baggy-tay-nu-cuc-boc-095-big-size-40-80kg-p44350881.html?spid=59102989,23,,Đã bán 4,quannu
Bộ len QC cao cấp,399.000₫,https://tiki.vn/bo-len-qc-cao-cap-p201522698.html?spid=201522764,24,,,quannu
Quần tây nữ_quần công sở nữ lưng cao dáng baggy vải trượt Nhật mịn đẹp LOANBOUTIQUE,319.000₫,https://tiki.vn/quan-tay-nu_quan-cong-so-nu-lung-cao-dang-baggy-vai-truot-nhat-min-dep-loanboutique-p167446033.html?spid=167446037,25,,Đã bán 3,quannu
,,https://tiki.vn/quan-the-thao-nu-quan-the-thao-nu-ong-rong-vai-du-p127936129.html?spid=127936130,26,,,quannu
Quần cullotes ống suông vải nữ,129.000₫,https://tiki.vn/quan-cullotes-ong-suong-vai-nu-p111755411.html?spid=111755415,27,,,quannu
Quần Short Đùi In Mặt Cười Nam Nữ Couple HOT RẺ ĐẸP Quần Thun Lửng Trơn Kiểu Đùi Dây Rút Unisex Đủ Size Cặp Đôi Cute,78.000₫,https://tiki.vn/quan-short-dui-in-mat-cuoi-nam-nu-couple-hot-re-dep-quan-thun-lung-tron-kieu-dui-day-rut-unisex-du-size-cap-doi-cute-p120495972.html?spid=135409147,28,,Đã bán 42,quannu
Quần ống rộng nữ dáng lửng kiểu hàn măc thoáng mát,53.000₫,https://tiki.vn/quan-ong-rong-nu-lung-kieu-han-mac-thoang-mat-p107123520.html?spid=107123536,29,,Đã bán 148,quannu
Quần jogger nữ bo gấu vải đũi xước siêu mát mùa hè Banamo Fashion 826,74.000₫,https://tiki.vn/quan-jogger-nu-bo-gau-vai-dui-xuoc-sieu-mat-mua-he-banamo-fashion-826-p194960834.html?spid=194960847,30,,,quannu
,,https://tiki.vn/quan-ong-rong-nhung-tam-nam-nu-lung-thun-rut-gau-form-dang-dep-unisex-p249255181.html?spid=249255275,31,,,quannu
"Quần ống rộng Linen bột Premium 5 màu lựa chọn (Đen, Trắng, Be nhạt, Be sẫm, Hồng)",250.000₫,https://tiki.vn/quan-ong-rong-linen-bot-premium-5-mau-lua-chon-lahstore-den-trang-be-nhat-be-sam-hong-p200728259.html?spid=200728291,32,,Đã bán 3,quannu
Quần legghin lưng cao co giãn hàn quốc,115.500₫,https://tiki.vn/quan-legghin-lung-cao-co-gian-han-quoc-p154202807.html?spid=154202817,33,,,quannu
Quần Xòe Isla Bonita IB25815-VI,850.000₫,https://tiki.vn/quan-xoe-isla-bonita-ib25815-vi-p271405466.html?spid=271405470,34,,,quannu
quần jean nữ cạp chun,145.000₫,https://tiki.vn/quan-jean-nu-cap-chun-p50471174.html?spid=83870532,35,,Đã bán 22,quannu
,,https://tiki.vn/quan-legging-lung-tap-gym-yoga-phoi-luoi-nu-quan-legging-the-thao-nu-p109434746.html?spid=109434752,36,,,quannu
Quần Legging Cạp cao Siêu Tôn Dáng Campodia HUE,249.000₫,https://tiki.vn/quan-legging-cap-cao-sieu-ton-dang-campodia-hue-p177823888.html?spid=177823889,37,,,quannu
QUẦN YẾM KAKI DÁNG THỤNG,216.000₫,https://tiki.vn/quan-yem-kaki-dang-thung-p170276598.html?spid=170276610,38,,,quannu
Quần Đũi nữ ống rộng suông vải mề xước siêu mát mùa hè dài 80cm lưng thun có túi G5,66.000₫,https://tiki.vn/quan-dui-nu-ong-rong-suong-vai-me-xuoc-sieu-mat-mua-he-dai-80cm-lung-thun-co-tui-g5-p249242953.html?spid=249242984,39,,,quannu
quần short nhung tăm kèm đai,80.000₫,https://tiki.vn/quan-short-nhung-tam-kem-dai-p111748547.html?spid=111748573,40,,,quannu
