title,price,link_item,index,discount,sales,category
Áo khoác kaki khoen nữ,102.000₫,https://tiki.vn/ao-khoac-kaki-khoen-nu-p187842824.html?spid=187842835,1,-11%,Đã bán 1,aokhoacnu
Áo khoác len cadigan nữ mỏng kiểu blackpink tay cánh dơi dáng croptop,115.000₫,https://tiki.vn/ao-khoac-len-cadigan-nu-mong-kieu-blackpink-tay-canh-doi-dang-croptop-p125348933.html?spid=125348935,2,,Đã bán 14,aokhoacnu
Áo parka nữ XK khoác parka lót lông -AK4,759.000₫,https://tiki.vn/ao-parka-nu-zara-xuat-khau-ao-khoac-parka-lot-long-ak4-p143967729.html?spid=153638326,3,-12%,Đã bán 1,aokhoacnu
Áo Sweater Tay Dài Form Rộng POTTER Vải Nỉ Bông Ulzzang Unisex,109.000,https://tiki.vn/ao-sweater-tay-dai-form-rong-potter-vai-ni-bong-ulzzang-unisex-p177996563.html?spid=177996577,4,,,aokhoacnu
,,https://tiki.vn/ao-len-nu-han-quoc-chat-len-mem-min-sieu-xinh-p72573895.html?spid=72573897,5,,,aokhoacnu
áo khoác mũ thu đông hiphop thời trang nam nữ alan walker (đen),99.000₫,https://tiki.vn/ao-khoac-mu-thu-dong-hiphop-thoi-trang-nam-nu-alan-walker-den-p160831457.html?spid=160831488,6,-12%,Đã bán 1,aokhoacnu
Áo Khoác Jean Nữ Trẻ Trung,154.000₫,https://tiki.vn/ao-khoac-jean-nu-tre-trung-p49552166.html?spid=68773408,7,,Đã bán 18,aokhoacnu
"Áo Khoác Nữ Đẹp, Áo Khoác Nữ Form Rộng, Áo Khoác Nữ Chống Nắng Cao Cấp Có Túi Trong Tay Xỏ Ngón Thương Hiệu Baw AK91 (Hình thật shop tự chụp)",258.000₫,https://tiki.vn/ao-khoac-nu-dep-ao-khoac-nu-form-rong-ao-khoac-nu-chong-nang-cao-cap-co-tui-trong-tay-xo-ngon-thuong-hieu-baw-ak91-hinh-that-shop-tu-chup-p272424518.html?spid=272424520,8,,,aokhoacnu
Áo vest croptop nữ dáng công sở hàn quốc áo khoác blazer nữ dáng ngắn đính khuy sang chảnh 2 lớp cao cấp dễ phối đồ mặc đi làm,289.000,https://tiki.vn/ao-vest-croptop-nu-dang-cong-so-han-quoc-ao-khoac-blazer-nu-dang-ngan-dinh-khuy-sang-chanh-2-lop-cao-cap-de-phoi-do-mac-di-lam-p229698178.html?spid=229698192,9,,,aokhoacnu
,,https://tiki.vn/ao-khoac-da-nu-chat-lu-ca-tinh-thiet-ke-manh-me-chat-da-xin-so-2020-ab0089-p98156818.html?spid=98156961,10,,,aokhoacnu
Áo Len Mỏng Dệt Kim Tay Ngắn Kẻ Cổ Tròn Kiểu Hàn Quốc Form Rộng Haint Boutique Al42,131.000₫,https://tiki.vn/ao-len-mong-det-kim-tay-ngan-ke-co-tron-kieu-han-quoc-form-rong-haint-boutique-al42-p194477543.html?spid=194477544,11,,,aokhoacnu
Áo khoác ren tà ngắn 06 C107,133.000,https://tiki.vn/ao-khoac-ren-ta-ngan-06-c107-p19646743.html?spid=19646745,12,,,aokhoacnu
,,https://tiki.vn/ao-sweater-nam-nu-in-than-meo-nhieu-mau-p164985060.html?spid=164985115,13,,,aokhoacnu
Áo Khoác Jean nữ Thời Trang Thêu Họa Tiết - Áo khoác Bò Nữ Cao Cấp Thương Hiệu Chandi Onesize Từ 45kg Đến Dưới 60kg JN3,279.000₫,https://tiki.vn/ao-khoac-jean-nu-thoi-trang-theu-hoa-tiet-ao-khoac-bo-nu-cao-cap-thuong-hieu-chandi-onesize-tu-45kg-den-duoi-60kg-jn3-p169129807.html?spid=169129809,14,,Đã bán 6,aokhoacnu
Áo Khoác JENNIE Nỉ Chân Cua Form Rộng Nam Nữ Unisex,100.000₫,https://tiki.vn/ao-khoac-jennie-ni-chan-cua-form-rong-nam-nu-unisex-p126210158.html?spid=190154819,15,,Đã bán 1,aokhoacnu
"áo phao béo nữ có mũ viền lông, áo khoác phao nữ thu đông kiểu hàn quốc siêu ấm",350.000₫,https://tiki.vn/ao-phao-beo-nu-co-mu-vien-long-ao-khoac-phao-nu-thu-dong-kieu-han-quoc-sieu-am-p141099733.html?spid=197746908,16,,Đã bán 1,aokhoacnu
Áo khoác len cadigan hoạ tiết kẻ caro sọc mềm mịn freesize ARCTIC HUNTER Ah13,202.000,https://tiki.vn/ao-khoac-len-cadigan-hoa-tiet-ke-caro-soc-mem-min-freesize-arctic-hunter-ah13-p199565888.html?spid=199565892,17,,,aokhoacnu
,,https://tiki.vn/ao-vest-blazer-nu-linen-premium-dang-lung-2-ve-ngoc-tre-trung-arctichunter-p214595246.html?spid=214595270,18,,,aokhoacnu
"Áo Khoác Hoodie Viền Tay Bồng Nữ Jacket form rộng có mũ màu ĐEN ,HỒNG, XANH, TÍM THAN Ulzzang- KHOÁC NỈ TRƠN PHONG CÁCH HÀN QUỐC",110.000₫,https://tiki.vn/ao-khoac-hoodie-vien-tay-bong-nu-jacket-form-rong-co-mu-mau-den-hong-xanh-tim-than-ulzzang-p162030289.html?spid=162030295,19,,,aokhoacnu
"Áo khoác hoodie nỉ form rộng có mũ nam nữ unisex, áo khoác chống nắng from rộng Nam mũ đội 2 lớp to, áo khoác nam nữ giá rẻ học sinh, Áo Khoác Nỉ Ngoại AOA DUMBLE - Áo Hoodie Zip Trơn Nỉ Bông Thời Trang Cao Cấp",99.000₫,https://tiki.vn/ao-khoac-hoodie-ni-form-rong-co-mu-nam-nu-unisex-ao-khoac-chong-nang-from-rong-nam-mu-doi-2-lop-to-ao-khoac-nam-nu-gia-re-hoc-sinh-ao-khoac-ni-ngoai-aoa-dumble-ao-hoodie-zip-tron-ni-bong-thoi-trang-cao-cap-p260646276.html?spid=260646286,20,,,aokhoacnu
Áo vest 2 lớp GBQ024 LAMER L65B20T031,490.000₫,https://tiki.vn/ao-vest-2-lop-gbq024-lamer-l65b20t031-p75999561.html?spid=75999565,21,,,aokhoacnu
Áo hoodie nam nữ thu đông ấm áp chất nỉ mềm mại siêu dễ thương in chữ HARSII,158.000₫,https://tiki.vn/ao-hoodie-nam-nu-thu-dong-am-ap-chat-ni-mem-mai-sieu-de-thuong-in-chu-harsii-p191426460.html?spid=191426462,22,,,aokhoacnu
Áo len nữ phom dáng rộng chất dày cổ tròn chui đầu phong cách Hàn hàng Quảng Châu ARCTIC HUNTER,175.000₫,https://tiki.vn/ao-len-nu-phom-dang-rong-chat-day-co-tron-chui-dau-phong-cach-han-hang-quang-chau-arctic-hunter-p194785610.html?spid=194785611,23,,,aokhoacnu
